premise,conclusion,human_rating,predicate
dolphin,herring,2.333333333333333,gene
dolphin,human,2.916666666666667,gene
dolphin,kelp,1.75,gene
dolphin,mako,2.166666666666667,gene
dolphin,sandshark,3.3333333333333335,gene
dolphin,tuna,4.25,gene
herring,dolphin,2.25,gene
herring,human,1.916666666666667,gene
herring,kelp,2,gene
herring,mako,1.916666666666667,gene
herring,sandshark,2.083333333333333,gene
herring,tuna,3.4166666666666665,gene
human,dolphin,3.6666666666666665,gene
human,herring,1.916666666666667,gene
human,kelp,1.166666666666667,gene
human,mako,1.833333333333333,gene
human,sandshark,1.916666666666667,gene
human,tuna,1.833333333333333,gene
kelp,dolphin,2.083333333333333,gene
kelp,herring,2.083333333333333,gene
kelp,human,1.25,gene
kelp,mako,1.75,gene
kelp,sandshark,1.416666666666667,gene
kelp,tuna,2.166666666666667,gene
mako,dolphin,2.25,gene
mako,herring,2,gene
mako,human,1.166666666666667,gene
mako,kelp,2.25,gene
mako,sandshark,4.25,gene
mako,tuna,1.75,gene
sandshark,dolphin,3.9166666666666665,gene
sandshark,herring,1.75,gene
sandshark,human,1.833333333333333,gene
sandshark,kelp,2.333333333333333,gene
sandshark,mako,4.666666666666666,gene
sandshark,tuna,3.3333333333333335,gene
tuna,dolphin,3.5,gene
tuna,herring,3.0833333333333335,gene
tuna,human,1.083333333333333,gene
tuna,kelp,1.916666666666667,gene
tuna,mako,2.666666666666667,gene
tuna,sandshark,3.5,gene
dolphin,herring,2.7777777777777777,disease
dolphin,human,3.7777777777777777,disease
dolphin,kelp,2,disease
dolphin,mako,4.222222222222222,disease
dolphin,sandshark,1.666666666666667,disease
dolphin,tuna,2.2222222222222223,disease
herring,dolphin,4.777777777777778,disease
herring,human,2.333333333333333,disease
herring,kelp,2.8888888888888893,disease
herring,mako,3.4444444444444446,disease
herring,sandshark,4.555555555555555,disease
herring,tuna,5.222222222222222,disease
human,dolphin,2.2222222222222223,disease
human,herring,2.333333333333333,disease
human,kelp,1.2222222222222223,disease
human,mako,3.3333333333333335,disease
human,sandshark,1.8888888888888893,disease
human,tuna,1.7777777777777777,disease
kelp,dolphin,3.5555555555555554,disease
kelp,herring,4.111111111111111,disease
kelp,human,2,disease
kelp,mako,2.8888888888888893,disease
kelp,sandshark,3.4444444444444446,disease
kelp,tuna,3,disease
mako,dolphin,4,disease
mako,herring,3.2222222222222223,disease
mako,human,4.666666666666666,disease
mako,kelp,1.4444444444444446,disease
mako,sandshark,2.1111111111111107,disease
mako,tuna,2.4444444444444446,disease
sandshark,dolphin,1.333333333333333,disease
sandshark,herring,2.2222222222222223,disease
sandshark,human,2.2222222222222223,disease
sandshark,kelp,1.8888888888888893,disease
sandshark,mako,2.2222222222222223,disease
sandshark,tuna,1.4444444444444446,disease
tuna,dolphin,2.333333333333333,disease
tuna,herring,3,disease
tuna,human,2.5555555555555554,disease
tuna,kelp,0.8888888888888893,disease
tuna,mako,4.666666666666666,disease
tuna,sandshark,1.8888888888888893,disease
