premise,conclusion,human_rating,predicate
bobcats,fox,2.8181818181818183,gene
bobcats,lions,4.090909090909091,gene
bobcats,squirrels,2,gene
bobcats,wolverines,2,gene
bobcats,wolves,2,gene
bobcats,woodchucks,2.1818181818181817,gene
fox,bobcats,3,gene
fox,lions,1.5454545454545459,gene
fox,squirrels,2.3636363636363633,gene
fox,wolverines,2.454545454545454,gene
fox,wolves,3.909090909090909,gene
fox,woodchucks,2.6363636363636367,gene
lions,bobcats,4.363636363636363,gene
lions,fox,1.7272727272727275,gene
lions,squirrels,1.6363636363636367,gene
lions,wolverines,1.2727272727272725,gene
lions,wolves,2.3636363636363633,gene
lions,woodchucks,1.2727272727272725,gene
squirrels,bobcats,2.6363636363636367,gene
squirrels,fox,2.909090909090909,gene
squirrels,lions,1.3636363636363633,gene
squirrels,wolves,2.1818181818181817,gene
squirrels,wolverines,4,gene
squirrels,woodchucks,3.6363636363636362,gene
wolverines,bobcats,2.2727272727272725,gene
wolverines,fox,2.454545454545454,gene
wolverines,lions,1.7272727272727275,gene
wolverines,squirrels,3.5454545454545454,gene
wolverines,wolves,2.8181818181818183,gene
wolverines,woodchucks,3.6363636363636362,gene
wolves,bobcats,2.2727272727272725,gene
wolves,fox,5,gene
wolves,lions,2.6363636363636367,gene
wolves,squirrels,1.2727272727272725,gene
wolves,wolverines,2.6363636363636367,gene
wolves,woodchucks,1.1818181818181817,gene
woodchucks,bobcats,1.5454545454545459,gene
woodchucks,fox,2.6363636363636367,gene
woodchucks,lions,1.7272727272727275,gene
woodchucks,squirrels,4.545454545454545,gene
woodchucks,wolves,1.6363636363636367,gene
woodchucks,wolverines,4.181818181818182,gene
bobcats,fox,1.7999999999999998,disease
bobcats,lions,3,disease
bobcats,squirrels,2,disease
bobcats,wolverines,2.4000000000000004,disease
bobcats,wolves,4.5,disease
bobcats,woodchucks,2.4000000000000004,disease
fox,bobcats,2.7,disease
fox,lions,2.8,disease
fox,squirrels,1.7000000000000002,disease
fox,wolverines,4.5,disease
fox,wolves,3.3,disease
fox,woodchucks,1.7000000000000002,disease
lions,bobcats,2.2,disease
lions,fox,2.9000000000000004,disease
lions,squirrels,3,disease
lions,wolverines,4,disease
lions,wolves,3.3,disease
lions,woodchucks,2.9000000000000004,disease
squirrels,bobcats,2.4000000000000004,disease
squirrels,fox,1.5,disease
squirrels,lions,3.3,disease
squirrels,wolves,4.3,disease
squirrels,wolverines,2.5,disease
squirrels,woodchucks,1.7999999999999998,disease
wolverines,bobcats,2.5,disease
wolverines,fox,3,disease
wolverines,lions,3.9,disease
wolverines,squirrels,3.1,disease
wolverines,wolves,2.8,disease
wolverines,woodchucks,2.2,disease
wolves,bobcats,3.5,disease
wolves,fox,3.2,disease
wolves,lions,3.6,disease
wolves,squirrels,3.3,disease
wolves,wolverines,3.2,disease
wolves,woodchucks,3.5,disease
woodchucks,bobcats,1.2999999999999998,disease
woodchucks,fox,1.2000000000000002,disease
woodchucks,lions,3.5,disease
woodchucks,squirrels,2.8,disease
woodchucks,wolves,4.3,disease
woodchucks,wolverines,3.6,disease
